price,cheat,description
-1,"WANRLTW","Бесконечное количество патронов и стрельба без перезарядки."
-1,"OUIQDMW","Автоматическая наводка оружия при стрельбе из машины."
-1,"LXGIWYL","Набор оружия № 1 для любителей (кастет, бита, пистолет 9mm, дробовик, micro SMG, AK-47, винтовка, ракетница, коктейль Молотова, баллончик с краской)."
-1,"KJKSZPJ","Набор оружия № 2 для профессионалов (нож, пистолет Desert Eagle, обрез (дробовик Sawn-off), Tec-9, M4, снайперская винтовка, огнетушитель, огнемет, гранаты)."
-1,"UZUMYMW","Набор оружия № 3 для психов (бензопила, пистолет с глушителем, боевой дробовик (Combat shotgun), MP5, M4, Stinger, взрывчатка с дистанционным пультом)."

-1,"HESOYAM","Полное здоровье, броня и $250.000."
151,"BAGUVIX","Бесконечное здоровье с защитой от пуль, огня и ударов, однако от взрывов, падения с высоты, наезда авто вы все еще можете пострадать или утонуть захлебнувшись водой."
51,"CVWKXAM","Неограниченное дыхание под водой."
61,"AEDUWNV","Вечно сыт и больше никогда не проголодается."

122,"ASNAEB","Убрать уровень преступности (исчезают все звезды розыска)."
112,"LJSPQK","Повысить уровень преступности до максимального (6 звезд розыска)."
62,"OSRBLHH","Повысить уровень преступности на 2 звезды."
132,"AEZAKMI","Неуловимый, никогда не поймают и не арестуют."

14,"BTCDBCB","CJ очень толстый."
15,"KVGYZQK","CJ тощий."
16,"JYSDSOD","CJ мускулистый качок."
-1,"BIFBUZZ","Банды захватили абсолютно весь штат San Andreas. Улицы городов совершенно пустые, на них нет никого кроме бандитов из противборствующих группировок, которые без передышки ведут перестрелки."
-1,"MROEMZH","Банды везде, они будут окружать вас повсюду, даже там где их не бывает (например, Балласы в Las Venturas)."

63,"AIWPRTON","Танк Rhino"
53,"CQZIJMB","Bloodring Banger"
54,"PDNEJOH","Hotring Racer 73"
55,"VPJTQWV","Hotring Racer 07"
13,"AQTBCODX","Romero"
33,"KRIJEBR","Stretch"
-1,"UBHYZHQ","Trashmaster"
-1,"RZHSUEW","Гольфкар Caddy"
-1,"AKJJYGLC","Quadbike"
-1,"AMOMHRER","Tanker Truck"
-1,"EEGCYXT","Dozer"
-1,"AGBDLCID","Monster"
-1,"JQNTDMH","Rancher"

-1,"JUMPJET","Самолет Hydra"
-1,"OHDUDE","Вертолет Hunter"
-1,"URKQSRK","Stunt Plane"

-1,"KGGGDKP","Судно на воздушной подушке."
-1,"YECGAA","Jetpack"
-1,"AIYPWZQP","Получить парашют"

-1,"COXEFGU","У всех машин появляется нитро."
-1,"CPKTNWT","Все машины в поле видимости игрока взлетят на воздух."
-1,"XICWMD","Весь транспорт становится невидимыми (прозрачными), за исключением мотоциклов. У машин видны только колеса."
-1,"PGGOMOY","Идеальное управление. Повышается чувствительность и резкость в управлении транспортом."
-1,"ZEIIVG","Светофоры всегда зеленые."
-1,"YLTEICZ","Агрессивные водители. Водители и их пассажиры затевают перестрелки с полицией."
-1,"LLQPFBN","Цвет всех машины становится розовым."
-1,"IOWDLAC","Цвет всех машины становится черным."
-1,"RIPAZHA","Летающие автомобили. Разогнавшись на машине можно взлететь. Управление как в самолете."
-1,"FVTMNBZ","Все машины и люди из сельской местности."
-1,"AFSNMSMW","Летающие лодки. Все катера и яхты летают."
-1,"BGKGTJH","На улицах SA только дешевые медленные машины."
-1,"GUSNHDE","На улицах SA только дорогие быстрые и спортивные машины."
-1,"BSXSGGC","При малейшем столкновении вашей машины с другими авто они теряют вес и отлетают вверх."
-1,"JCNRUAD","Любое авто, в которое вы сядите становится практически неубиваемым, а также при столкновении с ним другой транспорт врывается."

-1,"AFZLLQLL","Солнечная ясная погода."
-1,"ICIKPYH","Очень солнечная погода."
-1,"ALNSFMZO","Облачная погода."
-1,"AUIFRVQS","Дождливая погода."
-1,"CFVFGMJ","Туманная погода."
-1,"MGHXYRM","Гроза."
-1,"CWJXUOC","Буран (песчаная буря)."

-1,"YSOHNUL","Ускорить игровое время."
-1,"PPGWJHT","Ускорить игровой процесс."
-1,"LIYOAAY","Замедлить игровой процесс."
-1,"XJVSNAJ","Всегда полночь. Игровые часы останавливаются на 00:00. Если вы погибаете, то после возвращения будет полдень - 12:00."
-1,"OFVIAC","Оранжевое небо. Цвет неба станет таким же, как и на первых скриншотах GTA San Andreas. Также код остановит время на 21:00."

-1,"AJLOJYQY","Люди дерутся друг с другом гольфийскими клюшками."
-1,"BAGOWPG","За вашу голову назначена награда."
-1,"FOOOXFT","Все вооружены."
-1,"SZCMAWO","Суицид."
-1,"ASBHGRB","Элвисы повсюду."
-1,"BGLUAWML","Люди атакуют вас с оружием."
-1,"CIKGCGX","Вечеринка на пляже."
-1,"MROEMZH","Члены банды повсюду."
-1,"BIFBUZZ","Контроль над улицами."
-1,"AFPHULTL","Ниндзя."
-1,"BEKKNQV","Девушки..."
-1,"JHJOECW","Huge Bunny Hop."
-1,"LFGMHAL","Мега-прыжки."
-1,"IAVENJQ","Мега-удар."
-1,"AEDUWNV","Вы не знаете слова голод."
-1,"IOJUFZN","Riot-режим."
-1,"PRIEBJ","Funhouse Theme."
-1,"OUIQDMW","Полное наведение оружия в машине."
-1,"THGLOJ","Уменьшенный трафик в городе."
-1,"CRAZYTOWN","Все становятся психами."
